c16Gt,4r1k1/5p1p/6p1/pp6/8/P1N2bPP/1PP2P2/3R2K1 w - - 1 25,d1d3 e8e1 g1h2 e1h1,463,82,92,247,endgame mate mateIn2 short,https://lichess.org/dBmb7i0E#49,
he5O1,3rkb2/p4pp1/2p5/2p1p3/4P3/BPP1QP1p/P4P1P/6qK w - - 0 21,h1g1 d8d1 e3e1 d1e1,400,86,76,155,endgame kingsideAttack mate mateIn2 short,https://lichess.org/o73Hzx6o#41,
9ltMo,r3r1k1/1pq2pp1/p2p3p/b3nP2/1N2QB2/2P4P/1P3PP1/3RR1K1 b - - 0 24,e5g6 e4e8 a8e8 e1e8,486,85,100,206,crushing kingsideAttack middlegame short,https://lichess.org/70W2gsPC/black#48,
gOldw,r3r1k1/pp3ppn/2p2qp1/3pR3/3P2P1/P1N3QP/1PP2PK1/R7 b - - 4 23,f6d6 e5e8 a8e8 g3d6,442,99,100,326,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/DZ3mlHjZ/black#46,
IWvXE,r4Rk1/pp4p1/2q4p/2ppP1r1/5Q2/P1PB4/2P3PP/5R1K b - - 2 25,a8f8 f4f8,464,106,96,263,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/BtsLt23y/black#50,
QMdix,3QR3/7k/7p/6p1/r5K1/8/8/8 w - - 3 60,g4h5 a4h4,405,100,100,563,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/c0PKtdck#119,
DzLQ4,3r1rk1/p5bp/6p1/1p1p4/4p1Q1/1PNP2N1/1PP3PP/R1B2q1K w - - 1 21,g3f1 f8f1,465,92,63,136,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/oKBSpQDA#41,
n73tt,8/5p2/8/4k3/4NpPp/1P3Pb1/3R2P1/2r4K w - - 1 54,d2d1 c1d1,455,111,93,228,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/B2xmRZDs#107,
50KkR,3k4/pbp1Q3/1p1p2p1/2n2q2/8/4RP2/Pr5P/5R1K b - - 3 30,d8c8 e7e8,492,82,87,275,mate mateIn1 middlegame oneMove,https://lichess.org/w14mDoW5/black#60,
zpCbk,5Rk1/p4p2/5r2/3p1N2/4p3/P4pP1/2P2Pb1/1R4K1 b - - 0 31,g8f8 b1b8,400,92,100,68,endgame mate mateIn1 oneMove,https://lichess.org/Jaq6Lggx/black#62,
J50jM,8/p1p4p/6pk/7r/P4P2/8/2P2P2/3R1bK1 w - - 0 31,g1f1 h5h1 f1e2 h1d1,435,95,76,132,crushing endgame rookEndgame short,https://lichess.org/X1O1dlhn#61,
0porR,4r1k1/p5pp/1p6/1P3q2/2P1P3/8/P5PP/4Q2K w - - 0 30,e4f5 e8e1,447,116,93,224,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/YJ45dMVh#59,
